Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;WiFi;2021-08-19 05:19:23.262;2021-08-19 05:19:25.846;557;85;2584
WEB;WiFi;2021-08-19 05:20:19.530;2021-08-19 05:20:23.033;1952;188;3503
WEB;WiFi;2021-08-19 05:21:09.875;2021-08-19 05:21:12.375;1430;88;2500
WEB;WiFi;2021-08-19 05:21:51.245;2021-08-19 05:21:53.584;657;77;2339
WEB;WiFi;2021-08-19 05:22:34.555;2021-08-19 05:22:37.137;1977;144;2582
WEB;WiFi;2021-08-19 05:23:17.451;2021-08-19 05:23:19.873;2186;99;2422
WEB;WiFi;2021-08-19 05:23:59.899;2021-08-19 05:24:02.148;1756;82;2249
WEB;WiFi;2021-08-19 05:24:41.267;2021-08-19 05:24:43.914;714;70;2647
WEB;WiFi;2021-08-19 05:25:23.512;2021-08-19 05:25:25.900;1633;80;2388
WEB;WiFi;2021-08-19 05:26:04.211;2021-08-19 05:26:06.586;450;93;2375
WEB;WiFi;2021-08-19 05:26:45.888;2021-08-19 05:26:48.205;1509;124;2317
WEB;WiFi;2021-08-19 05:27:27.188;2021-08-19 05:27:29.406;1750;98;2218
WEB;WiFi;2021-08-19 05:28:11.712;2021-08-19 05:28:13.902;1997;63;2190
WEB;WiFi;2021-08-19 05:28:51.457;2021-08-19 05:28:53.729;460;69;2272
WEB;WiFi;2021-08-19 05:29:31.443;2021-08-19 05:29:33.527;532;144;2084
WEB;WiFi;2021-08-19 05:30:12.476;2021-08-19 05:30:14.549;1840;81;2073
WEB;WiFi;2021-08-19 05:30:54.664;2021-08-19 05:30:56.804;1544;69;2140
WEB;WiFi;2021-08-19 05:31:37.075;2021-08-19 05:31:39.202;1689;60;2127
WEB;WiFi;2021-08-19 05:32:18.171;2021-08-19 05:32:20.087;1545;67;1916
WEB;WiFi;2021-08-19 05:32:57.277;2021-08-19 05:32:59.396;517;76;2119
WEB;WiFi;2021-08-19 05:33:38.689;2021-08-19 05:33:40.641;1840;112;1952
WEB;WiFi;2021-08-19 05:34:18.786;2021-08-19 05:34:20.882;444;76;2096
WEB;WiFi;2021-08-19 05:34:59.294;2021-08-19 05:35:01.256;1453;94;1962
WEB;WiFi;2021-08-19 05:35:39.046;2021-08-19 05:35:41.118;538;60;2072
WEB;WiFi;2021-08-19 05:36:19.342;2021-08-19 05:36:21.223;1530;105;1881
WEB;WiFi;2021-08-19 05:37:00.048;2021-08-19 05:37:02.096;1868;79;2048
WEB;WiFi;2021-08-19 05:37:41.471;2021-08-19 05:37:43.511;1717;103;2040
WEB;WiFi;2021-08-19 05:38:20.974;2021-08-19 05:38:22.950;565;103;1976
WEB;WiFi;2021-08-19 05:39:00.599;2021-08-19 05:39:02.889;747;79;2290
WEB;WiFi;2021-08-19 05:39:40.822;2021-08-19 05:39:43.142;521;63;2320
WEB;WiFi;2021-08-19 05:40:21.095;2021-08-19 05:40:23.405;773;67;2310
WEB;WiFi;2021-08-19 05:41:04.090;2021-08-19 05:41:06.263;3101;96;2173
WEB;WiFi;2021-08-19 05:41:44.329;2021-08-19 05:41:46.619;719;73;2290
WEB;WiFi;2021-08-19 05:42:23.380;2021-08-19 05:42:25.554;511;115;2174
WEB;WiFi;2021-08-19 05:43:02.782;2021-08-19 05:43:04.918;607;91;2136
