Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Facturas;Histograma;En tu banco
WEB;WiFi;2021-08-19 07:53:49.090;2021-08-19 07:53:53.669;1942;4579;870
WEB;WiFi;2021-08-19 07:54:34.396;2021-08-19 07:54:38.063;2133;3667;491
WEB;WiFi;2021-08-19 07:55:12.608;2021-08-19 07:55:17.082;2308;4474;567

WEB;WiFi;2021-08-19 08:05:54.911;2021-08-19 08:06:00.454;1705;5543;688
WEB;WiFi;2021-08-19 08:06:35.818;2021-08-19 08:06:39.369;2219;3551;87
WEB;WiFi;2021-08-19 08:07:13.314;2021-08-19 08:07:16.977;2053;3663;769
WEB;WiFi;2021-08-19 08:07:49.551;2021-08-19 08:07:53.586;1850;4035;92
WEB;WiFi;2021-08-19 08:08:27.283;2021-08-19 08:08:33.322;2815;6039;635
WEB;WiFi;2021-08-19 08:09:06.520;2021-08-19 08:09:12.101;2167;5581;618
WEB;WiFi;2021-08-19 08:09:48.684;2021-08-19 08:09:53.705;2181;5021;1071
WEB;WiFi;2021-08-19 08:10:28.141;2021-08-19 08:10:32.895;2056;4754;850
WEB;WiFi;2021-08-19 08:11:07.259;2021-08-19 08:11:11.629;2015;4370;999
WEB;WiFi;2021-08-19 08:11:54.947;2021-08-19 08:12:02.453;4408;7506;124
WEB;WiFi;2021-08-19 08:12:41.005;2021-08-19 08:12:44.759;3469;3754;88
WEB;WiFi;2021-08-19 08:13:17.476;2021-08-19 08:13:20.937;1692;3461;95
WEB;WiFi;2021-08-19 08:14:02.480;2021-08-19 08:14:06.986;3189;4506;291
WEB;WiFi;2021-08-19 08:15:04.284;2021-08-19 08:15:08.391;3988;4107;117
WEB;WiFi;2021-08-19 08:15:46.676;2021-08-19 08:15:52.299;2017;5623;267
WEB;WiFi;2021-08-19 08:16:28.455;2021-08-19 08:16:32.500;2200;4045;93
WEB;WiFi;2021-08-19 08:17:05.947;2021-08-19 08:17:09.246;1630;3299;688
WEB;WiFi;2021-08-19 08:17:43.813;2021-08-19 08:17:46.944;2045;3131;98
WEB;WiFi;2021-08-19 08:18:26.788;2021-08-19 08:18:30.591;2295;3803;646
WEB;WiFi;2021-08-19 08:19:04.553;2021-08-19 08:19:09.636;2058;5083;94
WEB;WiFi;2021-08-19 08:19:43.846;2021-08-19 08:19:49.382;2193;5536;910
WEB;WiFi;2021-08-19 08:20:23.954;2021-08-19 08:20:27.670;1923;3716;727
WEB;WiFi;2021-08-19 08:21:02.350;2021-08-19 08:21:06.844;2700;4494;1006
WEB;WiFi;2021-08-19 08:21:40.793;2021-08-19 08:21:45.050;2889;4257;826
WEB;WiFi;2021-08-19 08:22:18.451;2021-08-19 08:22:21.549;2589;3098;87
WEB;WiFi;2021-08-19 08:22:53.781;2021-08-19 08:22:58.248;1807;4467;97
WEB;WiFi;2021-08-19 08:23:30.009;2021-08-19 08:23:34.113;1559;4104;554
WEB;WiFi;2021-08-19 08:24:06.995;2021-08-19 08:24:11.107;2913;4112;595
WEB;WiFi;2021-08-19 08:24:43.473;2021-08-19 08:24:47.200;1977;3727;808
WEB;WiFi;2021-08-19 08:25:19.148;2021-08-19 08:25:23.273;1945;4125;90
