Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados;Servicios contratados;Servicios contratados
WEB;Ethernet;2021-08-21 00:50:15.383;2021-08-21 00:50:18.572;1325;150;3189;Tiempo final empleado: 2260ms;2260
WEB;Ethernet;2021-08-20 22:43:27.845;2021-08-20 22:43:30.828;1444;147;2983;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-20 22:59:41.421;2021-08-20 22:59:44.497;1329;143;3076;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-21 00:45:32.585;2021-08-21 00:45:35.563;1391;141;2978;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-20 22:34:53.952;2021-08-20 22:34:56.742;1360;180;2790;Tiempo final empleado: 2257ms;2257
WEB;Ethernet;2021-08-21 00:59:39.759;2021-08-21 00:59:42.415;1252;419;2656;Tiempo final empleado: 2256ms;2256
WEB;Ethernet;2021-08-21 00:22:28.230;2021-08-21 00:22:31.037;1314;369;2807;Tiempo final empleado: 2255ms;2255
WEB;Ethernet;2021-08-20 23:53:25.189;2021-08-20 23:53:28.024;1236;391;2835;Tiempo final empleado: 2253ms;2253
WEB;Ethernet;2021-08-20 23:12:11.387;2021-08-20 23:12:14.110;1383;384;2723;Tiempo final empleado: 2249ms;2249
WEB;Ethernet;2021-08-20 22:28:53.588;2021-08-20 22:28:56.486;1843;155;2898;Tiempo final empleado: 2246ms;2246
WEB;Ethernet;2021-08-21 00:07:33.630;2021-08-21 00:07:36.517;1344;381;2887;Tiempo final empleado: 2243ms;2243
WEB;Ethernet;2021-08-20 22:23:39.097;2021-08-20 22:23:41.409;1593;512;2312;Tiempo final empleado: 2240ms;2240
WEB;Ethernet;2021-08-21 00:17:47.136;2021-08-21 00:17:49.396;1528;490;2260;Tiempo final empleado: 2240ms;2240
WEB;Ethernet;2021-08-20 23:52:38.571;2021-08-20 23:52:41.456;1387;342;2885;Tiempo final empleado: 2239ms;2239
WEB;Ethernet;2021-08-21 00:51:02.897;2021-08-21 00:51:05.786;1386;395;2889;Tiempo final empleado: 2239ms;2239
WEB;Ethernet;2021-08-21 00:09:55.753;2021-08-21 00:09:58.029;1703;504;2276;Tiempo final empleado: 2237ms;2237
WEB;Ethernet;2021-08-20 22:48:53.633;2021-08-20 22:48:56.324;1376;415;2691;Tiempo final empleado: 2232ms;2232
WEB;Ethernet;2021-08-20 23:33:17.366;2021-08-20 23:33:20.392;1340;146;3026;Tiempo final empleado: 2232ms;2232
WEB;Ethernet;2021-08-20 22:55:49.845;2021-08-20 22:55:52.935;969;138;3090;Tiempo final empleado: 2231ms;2231
WEB;Ethernet;2021-08-20 22:51:59.689;2021-08-20 22:52:02.112;1565;395;2423;Tiempo final empleado: 2229ms;2229
