Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Datos personales CMS;Datos personales CC
WEB;Ethernet;2021-08-22 15:16:24.706;2021-08-22 15:16:30.954;1602;4646
WEB;Ethernet;2021-08-22 15:16:57.926;2021-08-22 15:17:04.307;1757;4624
WEB;Ethernet;2021-08-22 15:17:30.551;2021-08-22 15:17:37.622;2487;4584
WEB;Ethernet;2021-08-22 15:18:03.716;2021-08-22 15:18:10.130;1713;4701
WEB;Ethernet;2021-08-22 15:18:36.111;2021-08-22 15:18:42.679;1713;4855
WEB;Ethernet;2021-08-22 15:19:10.772;2021-08-22 15:19:17.149;1799;4578
WEB;Ethernet;2021-08-22 15:19:43.676;2021-08-22 15:19:50.135;1756;4703
WEB;Ethernet;2021-08-22 15:20:16.658;2021-08-22 15:20:25.359;1830;6871
WEB;Ethernet;2021-08-22 15:20:51.783;2021-08-22 15:20:58.726;2408;4535
WEB;Ethernet;2021-08-22 15:21:24.627;2021-08-22 15:21:31.769;2600;4542
WEB;Ethernet;2021-08-22 15:22:02.641;2021-08-22 15:22:08.912;1703;4568
WEB;Ethernet;2021-08-22 15:22:35.222;2021-08-22 15:22:41.708;1737;4749
WEB;Ethernet;2021-08-22 15:23:08.322;2021-08-22 15:23:14.695;1774;4599
WEB;Ethernet;2021-08-22 15:23:41.259;2021-08-22 15:23:47.627;1831;4537
WEB;Ethernet;2021-08-22 15:24:13.574;2021-08-22 15:24:20.247;1862;4811
WEB;Ethernet;2021-08-22 15:24:46.641;2021-08-22 15:24:53.713;2511;4561
WEB;Ethernet;2021-08-22 15:25:19.965;2021-08-22 15:25:29.767;1816;7986
WEB;Ethernet;2021-08-22 15:25:56.435;2021-08-22 15:26:02.904;1831;4638
WEB;Ethernet;2021-08-22 15:26:29.460;2021-08-22 15:26:36.189;2110;4619
WEB;Ethernet;2021-08-22 15:27:02.327;2021-08-22 15:27:08.523;1952;4244
WEB;Ethernet;2021-08-22 15:27:34.674;2021-08-22 15:27:40.805;1893;4238
WEB;Ethernet;2021-08-22 15:28:07.468;2021-08-22 15:28:13.944;1892;4584
WEB;Ethernet;2021-08-22 15:28:40.202;2021-08-22 15:28:46.826;1809;4815
WEB;Ethernet;2021-08-22 15:29:13.950;2021-08-22 15:29:20.024;1687;4387
WEB;Ethernet;2021-08-22 15:29:45.839;2021-08-22 15:29:52.049;1840;4370
WEB;Ethernet;2021-08-22 15:30:18.575;2021-08-22 15:30:24.864;1666;4623
WEB;Ethernet;2021-08-22 15:30:51.465;2021-08-22 15:31:00.698;1976;7257
WEB;Ethernet;2021-08-22 15:31:26.998;2021-08-22 15:31:36.396;2863;6535
WEB;Ethernet;2021-08-22 15:32:03.126;2021-08-22 15:32:09.808;2017;4665
WEB;Ethernet;2021-08-22 15:32:37.428;2021-08-22 15:32:43.861;1764;4669
WEB;Ethernet;2021-08-22 15:33:10.505;2021-08-22 15:33:16.966;1873;4588
WEB;Ethernet;2021-08-22 15:33:43.605;2021-08-22 15:33:50.000;1760;4635
WEB;Ethernet;2021-08-22 15:34:16.274;2021-08-22 15:34:22.618;1750;4594
WEB;Ethernet;2021-08-22 15:34:49.722;2021-08-22 15:34:56.608;1739;5147
WEB;Ethernet;2021-08-22 15:35:22.704;2021-08-22 15:35:29.009;1770;4535
WEB;Ethernet;2021-08-22 15:36:51.941;2021-08-22 15:36:58.420;1850;4629
WEB;Ethernet;2021-08-22 15:37:24.095;2021-08-22 15:37:30.206;2134;3977
WEB;Ethernet;2021-08-22 15:37:56.130;2021-08-22 15:38:02.612;2099;4383
WEB;Ethernet;2021-08-22 15:38:29.329;2021-08-22 15:38:35.920;2047;4544
WEB;Ethernet;2021-08-22 15:39:01.706;2021-08-22 15:39:08.220;1925;4589
WEB;Ethernet;2021-08-22 15:39:34.296;2021-08-22 15:39:40.396;1845;4255
WEB;Ethernet;2021-08-22 15:40:06.528;2021-08-22 15:40:13.677;1702;5447
WEB;Ethernet;2021-08-22 15:40:39.935;2021-08-22 15:40:46.618;1999;4684
WEB;Ethernet;2021-08-22 15:41:13.087;2021-08-22 15:41:24.409;1662;9660
WEB;Ethernet;2021-08-22 15:41:50.354;2021-08-22 15:41:57.237;1739;5144
WEB;Ethernet;2021-08-22 15:42:23.311;2021-08-22 15:42:29.918;1915;4692
WEB;Ethernet;2021-08-22 15:42:56.075;2021-08-22 15:43:02.219;1911;4233
WEB;Ethernet;2021-08-22 15:43:28.325;2021-08-22 15:43:34.850;2554;3971
WEB;Ethernet;2021-08-22 15:44:06.797;2021-08-22 15:44:13.590;2062;4731
WEB;Ethernet;2021-08-22 15:44:41.086;2021-08-22 15:44:48.016;1982;4948
WEB;Ethernet;2021-08-22 15:45:14.037;2021-08-22 15:45:20.527;1928;4562
WEB;Ethernet;2021-08-22 15:45:47.460;2021-08-22 15:45:54.007;1948;4599
